--------------------------------------------------------------
--------------------------------------------------------------
The following data gives the positions of possible binding sites for adatoms and admolecules across a cluster or surface.

The following sites are binding sites for top sites.
Site			Binding Position						Surface Position
Site 1	[ 9.42436285 12.32560109 18.81514189] 	[ 9.57897 12.30435 17.72122]
Site 2	[12.27128003 12.89860616 17.90307685] 	[11.89202 12.75571 16.87508]
Site 3	[10.87465622  9.92396038 17.65159584] 	[10.78184 10.37095 16.64518]
Site 4	[ 9.98674701 15.07874889 17.536501  ] 	[10.04228 14.51639 16.58698]
Site 5	[ 7.19140894 13.55211388 17.16780544] 	[ 7.79092 13.28862 16.27774]
Site 6	[ 7.74421263 10.37049263 17.16815495] 	[ 8.23965 10.74009 16.25204]
Site 7	[14.9748727  13.39846377 16.5671691 ] 	[14.15681 13.16002 15.86359]
Site 8	[13.84666209 10.53775263 16.52939332] 	[13.1601  10.83609 15.71648]
Site 9	[12.90957809 15.63699516 16.28077732] 	[12.39562 14.95117 15.58323]
Site 10	[12.41104347  7.832431   16.2475988 ] 	[12.06325  8.55822 15.49043]
Site 11	[10.60672512 17.55893087 15.81534163] 	[10.53824 16.60645 15.25936]
Site 12	[ 9.30516116  7.6108435  15.05968745] 	[ 9.52942  8.46181 14.39145]
Site 13	[ 7.81489674 16.33060213 15.59904023] 	[ 8.28901 15.52071 15.01566]
Site 14	[ 5.50737302 11.64549118 15.26735619] 	[ 6.45095 11.74031 14.69996]
Site 15	[ 5.21886789 14.69141255 15.16808445] 	[ 6.10987 14.24102 14.6944 ]
Site 16	[ 6.22045893  8.68201236 15.244979  ] 	[ 6.95177  9.27009 14.66154]
Site 17	[15.59797215 11.8110743  14.047289  ] 	[14.54266 11.82577 13.71959]
Site 18	[14.89122567 15.01227365 13.88667917] 	[14.00314 14.39357 13.66321]
Site 19	[14.41456729  9.02655915 14.05699758] 	[13.55515  9.53549 13.58441]
Site 20	[12.54755175 17.15815202 13.41533086] 	[12.06361 16.17164 13.29646]
Site 21	[12.05052744  6.89611345 13.59075189] 	[11.74769  7.85724 13.13743]
Site 22	[ 9.40084496 17.6522079  13.04285046] 	[ 9.54311 16.56047 12.94732]
Site 23	[ 9.51647334  5.96586286 12.27456536] 	[ 9.71345  7.0127  11.98023]
Site 24	[ 6.44042175 16.17488811 12.80628963] 	[ 7.18951 15.36648 12.7254 ]
Site 25	[ 5.32710008 10.2790439  12.58858   ] 	[ 6.38529 10.54732 12.41767]
Site 26	[ 7.05376203  7.63627617 12.72733576] 	[ 7.73278  8.46004 12.44221]
Site 27	[12.83569148 14.87440357 12.01742981] 	[12.12224 14.03642 12.12078]
Site 28	[14.8720589   7.06288337 12.08086256] 	[14.06472  7.79772 11.90984]
Site 29	[11.84044417 13.57543671  4.97462585] 	[11.58626 13.13925  5.9576 ]
Site 30	[ 9.92638942 11.19601036  4.83914239] 	[10.03396 11.16356  5.93842]
Site 31	[13.11911654 10.8341816   5.46299818] 	[12.58976 10.86336  6.43254]
Site 32	[8.0657267  8.80644223 5.16102495] 	[8.49703 9.19308 6.10204]
Site 33	[11.08750392  8.3283452   5.49203696] 	[10.96806  8.84359  6.46218]
Site 34	[14.05387238  8.05872401  6.25649173] 	[13.4151   8.56569  7.00213]
Site 35	[ 8.98276015 13.94435695  6.06094307] 	[ 9.27593 13.39606  6.97452]
