--------------------------------------------------------------
--------------------------------------------------------------
The following data gives the positions of possible binding sites for adatoms and admolecules across a cluster or surface.

The following sites are binding sites for top sites.
Site		Binding Position			Surface Position		Indices of atoms involved
Site 1	[10.61849529 17.46226794 15.81390956]	[10.57543066 16.56932871 15.17296888]	[11]
Site 2	[12.45278169 17.07650181 13.52642409]	[12.07859524 16.10132095 13.18145048]	[25]
Site 3	[ 9.40289973 17.52824178 13.16898515]	[ 9.56658414 16.47735162 12.88820535]	[28]
Site 4	[ 7.94855259 16.21888859 15.5887261 ]	[ 8.34593954 15.4415236  14.919557  ]	[13]
Site 5	[10.02982914 14.97911869 17.38147401]	[10.07931587 14.42090635 16.43492763]	[3]
Site 6	[12.79499306 15.55836396 16.23795882]	[12.38617115 14.89318976 15.46309888]	[8]
Site 7	[14.87901035 13.44238957 16.59510035]	[14.16801277 13.14692122 15.80949174]	[6]
Site 8	[14.80720698 14.95754396 14.03361654]	[14.00529414 14.34735218 13.59247961]	[23]
Site 9	[15.52532698 11.89768066 14.19791975]	[14.54540472 11.83270493 13.70240939]	[22]
Site 10	[15.44725441 13.31476841 11.45465059]	[14.40746522 12.95663004 11.47863712]	[59]
Site 11	[12.76246832 14.78264743 12.30829152]	[12.111938   13.91778389 12.11126012]	[34]
Site 12	[13.78598512 15.13972809  9.45094662]	[13.0841789  14.4107154   9.88223368]	[62]
Site 13	[11.14316795 16.86099591 10.54080595]	[10.98026813 15.79311671 10.74840574]	[66]
Site 14	[12.17779608 12.91455916 17.79702338]	[11.87194859 12.68883398 16.76479014]	[1]
Site 15	[ 9.44556208 12.35364444 18.72744674]	[ 9.58021319 12.23229906 17.64248389]	[0]
Site 16	[ 7.35020662 13.55605385 17.08995088]	[ 7.84861951 13.22148177 16.16818838]	[4]
Site 17	[ 6.52234284 16.1650427  12.91985115]	[ 7.20596662 15.33784253 12.67819352]	[30]
Site 18	[ 5.33356392 14.75017778 15.24364156]	[ 6.12172686 14.24626176 14.66496391]	[15]
Site 19	[ 5.60521456 11.78188532 15.32716563]	[ 6.46604582 11.74029255 14.64361637]	[14]
Site 20	[ 6.16729951  8.76594303 15.26701598]	[ 6.90325816  9.25834891 14.61440483]	[16]
Site 21	[ 7.86605662 10.46448108 17.0975143 ]	[ 8.30753126 10.65931336 16.10901012]	[5]
Site 22	[ 9.30973991  7.97321553 15.43236766]	[ 9.51972019  8.70752459 14.64072475]	[12]
Site 23	[ 9.53427197  5.89606545 12.08176193]	[ 9.6875407   6.98095064 11.98412574]	[29]
Site 24	[10.86352489 10.07690638 17.57614847]	[10.76956993 10.33865407 16.51188318]	[2]
Site 25	[13.78023232 10.67181218 16.564842  ]	[13.1617567  10.83000882 15.66903972]	[7]
Site 26	[12.46882386  7.91226233 16.28416849]	[12.09751692  8.54542398 15.46487765]	[10]
Site 27	[14.36606571  9.04451484 14.04700575]	[13.53775682  9.55986098 13.53875116]	[24]
Site 28	[12.04409887  6.92174928 13.57660469]	[11.69098251  7.87787313 13.1629188 ]	[26]
Site 29	[15.54557091 10.00402485 11.02890477]	[14.49640615 10.31591361 11.13835202]	[70]
Site 30	[14.81502439  7.00967304 12.04445518]	[14.044693    7.7907054  11.96335033]	[35]
Site 31	[14.02909908 13.24935383  6.9750504 ]	[13.36677465 12.94540835  7.79903068]	[47]
Site 32	[15.14946634 10.35454517  7.8092977 ]	[14.29892351 10.56627962  8.47393702]	[50]
Site 33	[14.53019127  7.61280187  9.12729326]	[13.79212235  8.30584072  9.55735304]	[60]
